subclass_id,subclass,event_type_id,name,Country classification,Group,Country,Group
23,|Horse Racing|,16171,AINTREE,UK,1,UK,1
23,|Horse Racing|,16172,ASCOT,UK,1,UK,1
23,|Horse Racing|,16175,AYR,UK,1,UK,1
23,|Horse Racing|,16176,BALLINROBE,IRE,1,IRE,1
23,|Horse Racing|,16177,BANGOR,UK,1,FRA,2
23,|Horse Racing|,16178,BATH,UK,1,US,3
23,|Horse Racing|,16179,BELLEWSTOWN,IRE,1,UAE,4
23,|Horse Racing|,16180,BEVERLEY,UK,1,SA,5
23,|Horse Racing|,16181,BRIGHTON,UK,1,ROW,6
23,|Horse Racing|,16182,CARLISLE,UK,1,,
23,|Horse Racing|,16183,CARTMEL,UK,1,,
23,|Horse Racing|,16184,CATTERICK,UK,1,,
23,|Horse Racing|,16185,CHELTENHAM,UK,1,,
23,|Horse Racing|,16186,CHEPSTOW,UK,1,,
23,|Horse Racing|,16187,CHESTER,UK,1,,
23,|Horse Racing|,16188,CLONMEL,IRE,1,,
23,|Horse Racing|,16189,CORK,IRE,1,,
23,|Horse Racing|,16190,CURRAGH,IRE,1,,
23,|Horse Racing|,16191,DONCASTER,UK,1,,
23,|Horse Racing|,16192,DOWN ROYAL,IRE,1,,
23,|Horse Racing|,16193,DOWNPATRICK,IRE,1,,
23,|Horse Racing|,16194,DUNDALK,IRE,1,,
23,|Horse Racing|,16195,EPSOM,UK,1,,
23,|Horse Racing|,16196,EXETER,UK,1,,
23,|Horse Racing|,16197,FAIRYHOUSE,IRE,1,,
23,|Horse Racing|,16198,FAKENHAM,UK,1,,
23,|Horse Racing|,16199,FFOS LAS,UK,1,,
23,|Horse Racing|,16200,FONTWELL,UK,1,,
23,|Horse Racing|,16201,GALWAY,IRE,1,,
23,|Horse Racing|,16202,GOODWOOD,UK,1,,
23,|Horse Racing|,16203,GOWRAN PARK,IRE,1,,
23,|Horse Racing|,16204,HAMILTON,UK,1,,
23,|Horse Racing|,16205,HAYDOCK,UK,1,,
23,|Horse Racing|,16206,HEREFORD,UK,1,,
23,|Horse Racing|,16207,HEXHAM,UK,1,,
23,|Horse Racing|,16208,HUNTINGDON,UK,1,,
23,|Horse Racing|,16209,KELSO,UK,1,,
23,|Horse Racing|,16210,KEMPTON,UK,1,,
23,|Horse Racing|,16211,KILBEGGAN,IRE,1,,
23,|Horse Racing|,16212,KILLARNEY,IRE,1,,
23,|Horse Racing|,16213,LAYTOWN,IRE,1,,
23,|Horse Racing|,16214,LEICESTER,UK,1,,
23,|Horse Racing|,16215,LEOPARDSTOWN,IRE,1,,
23,|Horse Racing|,16216,LIMERICK,IRE,1,,
23,|Horse Racing|,16217,LINGFIELD,UK,1,,
23,|Horse Racing|,16218,LISTOWEL,IRE,1,,
23,|Horse Racing|,16219,LUDLOW,UK,1,,
23,|Horse Racing|,16220,MARKET RASEN,UK,1,,
23,|Horse Racing|,16221,MUSSELBURGH,UK,1,,
23,|Horse Racing|,16222,NAAS,IRE,1,,
23,|Horse Racing|,16223,NAVAN,IRE,1,,
23,|Horse Racing|,16224,NEWBURY,UK,1,,
23,|Horse Racing|,16225,NEWCASTLE,UK,1,,
23,|Horse Racing|,16226,NEWMARKET,UK,1,,
23,|Horse Racing|,16227,NEWTON ABBOT,UK,1,,
23,|Horse Racing|,16228,NOTTINGHAM,UK,1,,
23,|Horse Racing|,16229,PERTH,UK,1,,
23,|Horse Racing|,16230,PLUMPTON,UK,1,,
23,|Horse Racing|,16231,PUNCHESTOWN,IRE,1,,
23,|Horse Racing|,16232,REDCAR,UK,1,,
23,|Horse Racing|,16233,RIPON,UK,1,,
23,|Horse Racing|,16234,PONTEFRACT,UK,1,,
23,|Horse Racing|,16235,FOLKESTONE,UK,1,,
23,|Horse Racing|,16236,ROSCOMMON,IRE,1,,
23,|Horse Racing|,16237,SALISBURY,UK,1,,
23,|Horse Racing|,16238,SANDOWN,UK,1,,
23,|Horse Racing|,16239,SEDGEFIELD,UK,1,,
23,|Horse Racing|,16240,SLIGO,IRE,1,,
23,|Horse Racing|,16241,SOUTHWELL,UK,1,,
23,|Horse Racing|,16242,STRATFORD,UK,1,,
23,|Horse Racing|,16243,TAUNTON,UK,1,,
23,|Horse Racing|,16244,THIRSK,UK,1,,
23,|Horse Racing|,16245,THURLES,IRE,1,,
23,|Horse Racing|,16246,TIPPERARY,IRE,1,,
23,|Horse Racing|,16247,TOWCESTER,UK,1,,
23,|Horse Racing|,16248,TRAMORE,IRE,1,,
23,|Horse Racing|,16249,UTTOXETER,UK,1,,
23,|Horse Racing|,16250,WARWICK,UK,1,,
23,|Horse Racing|,16251,WETHERBY,UK,1,,
23,|Horse Racing|,16252,WEXFORD,IRE,1,,
23,|Horse Racing|,16253,WINCANTON,UK,1,,
23,|Horse Racing|,16254,WINDSOR,UK,1,,
23,|Horse Racing|,16255,WOLVERHAMPTON,UK,1,,
23,|Horse Racing|,16256,WORCESTER,UK,1,,
23,|Horse Racing|,16257,YARMOUTH,UK,1,,
23,|Horse Racing|,16258,YORK,UK,1,,
23,|Horse Racing|,16259,ROYAL ASCOT,UK,1,,
23,|Horse Racing|,16262,ALBANY,ROW,6,,
23,|Horse Racing|,16263,LAUREL PARK,US,3,,
23,|Horse Racing|,16264,SAINT-CLOUD,FRA,2,,
23,|Horse Racing|,16265,ALBION PARK,ROW,6,,
23,|Horse Racing|,16266,****LION DANGER*****,FRA,2,,
23,|Horse Racing|,16267,CLAIRFONTAIN,FRA,2,,
23,|Horse Racing|,16268,LONGCHAMP,FRA,2,,
23,|Horse Racing|,16269,LYON-LA SOIE,FRA,2,,
23,|Horse Racing|,16270,SAN SIRO,ROW,6,,
23,|Horse Racing|,16272,LYON PARILLY,FRA,2,,
23,|Horse Racing|,16273,AMIENS,FRA,2,,
23,|Horse Racing|,16275,MAISONS-LAFFITTE,FRA,2,,
23,|Horse Racing|,16276,SANTA ANITA,US,3,,
23,|Horse Racing|,16277,MARSEILLE B,FRA,2,,
23,|Horse Racing|,16278,MARSEILLE,FRA,2,,
23,|Horse Racing|,16280,MENANGLE,ROW,6,,
23,|Horse Racing|,16281,CLAIRWOOD,SA,5,,
23,|Horse Racing|,16283,SARATOGA,US,3,,
23,|Horse Racing|,16284,MEYDAN,UAE,4,,
23,|Horse Racing|,16285,ANGERS,FRA,2,,
23,|Horse Racing|,16286,SCOTTSVILLE,SA,5,,
23,|Horse Racing|,16287,MNEE VALLEY,ROW,6,,
23,|Horse Racing|,16288,MONMOUTH,US,3,,
23,|Horse Racing|,16289,ARGENTAN,ROW,6,,
23,|Horse Racing|,16290,MUNICH,ROW,6,,
23,|Horse Racing|,16291,NARROGIN,ROW,6,,
23,|Horse Racing|,16292,SHA TIN.,ROW,6,,
23,|Horse Racing|,16293,CLUB HIPICO,ROW,6,,
23,|Horse Racing|,16294,NEUSS OLD,ROW,6,,
23,|Horse Racing|,16296,COLOGNE,ROW,6,,
23,|Horse Racing|,16297,ARLINGTON,SA,5,,
23,|Horse Racing|,16298,NEUSS,ROW,6,,
23,|Horse Racing|,16299,COMPIEGNE,FRA,2,,
23,|Horse Racing|,16300,NEWBURY ARAB,UK,1,,
23,|Horse Racing|,16301,STRASBOURG,FRA,2,,
23,|Horse Racing|,16302,ARLINGTON PARK,SA,5,,
23,|Horse Racing|,16303,DEAUVILLE,FRA,2,,
23,|Horse Racing|,16304,NORTHAM,ROW,6,,
23,|Horse Racing|,16305,SUNSHINE CT,ROW,6,,
23,|Horse Racing|,16306,ASCOT AU,ROW,6,,
23,|Horse Racing|,16307,DEL MAR,US,3,,
23,|Horse Racing|,16308,TAMPA BAY,US,3,,
23,|Horse Racing|,16309,PARDUBICE,ROW,6,,
23,|Horse Racing|,16310,AUTEUIL,FRA,2,,
23,|Horse Racing|,16311,PARDUBICKA,ROW,6,,
23,|Horse Racing|,16312,BADEN BADEN,ROW,6,,
23,|Horse Racing|,16313,DELAWARE PK.,US,3,,
23,|Horse Racing|,16314,TAMWORTH,ROW,6,,
23,|Horse Racing|,16315,PARKES,ROW,6,,
23,|Horse Racing|,16316,DIEPPE,FRA,2,,
23,|Horse Racing|,16317,TOKYO,ROW,6,,
23,|Horse Racing|,16318,TOOWOOMBA,ROW,6,,
23,|Horse Racing|,16319,DORTMUND,ROW,6,,
23,|Horse Racing|,16320,PAU,FRA,2,,
23,|Horse Racing|,16321,BALLARAT,ROW,6,,
23,|Horse Racing|,16322,PENRITH,ROW,6,,
23,|Horse Racing|,16323,DUBBO,ROW,6,,
23,|Horse Racing|,16324,BANKSTOWN,ROW,6,,
23,|Horse Racing|,16325,TOULOUSE,FRA,2,,
23,|Horse Racing|,16326,DURBANVILLE,SA,5,,
23,|Horse Racing|,16327,TURF PARADISE ,US,3,,
23,|Horse Racing|,16328,BATHURST,ROW,6,,
23,|Horse Racing|,16329,DUSSELDORF,ROW,6,,
