"id","destination_id","notification_period","pp_event_grade","lay_to_lose","liability_limit","most_max_bet","least_max_bet","enabled","subclass_id"
1,betfair,72,AA,3000,20000,75000,25,1,49
2,betfair,72,A,1500,15000,60000,25,1,49
3,betfair,72,B,1000,10000,40000,25,1,49
4,betfair,72,C,500,10000,30000,25,1,49
5,betfair,72,D,400,10000,25000,25,1,49
6,betfair,72,E,300,7500,20000,25,1,49
7,paddy_power,72,AA,3000,20000,75000,25,1,49
8,paddy_power,72,A,1500,15000,60000,25,1,49
9,paddy_power,72,B,1000,10000,40000,25,1,49
10,paddy_power,72,C,500,10000,30000,25,1,49
11,paddy_power,72,D,400,10000,25000,25,1,49
12,paddy_power,72,E,300,7500,20000,25,1,49
13,sb_openbet,72,AA,3000,20000,75000,25,1,49
14,sb_openbet,72,A,1500,50000,60000,100,1,49
15,sb_openbet,72,B,1000,10000,40000,25,1,49
16,sb_openbet,72,C,750,10000,30000,50,1,49
17,sb_openbet,72,D,500,10000,25000,25,1,49
18,sb_openbet,72,E,500,7500,20000,50,1,49
19,betfair,48,AA,4000,50000,75000,25,1,49
20,betfair,48,A,3000,20000,60000,25,1,49
21,betfair,48,B,2000,15000,40000,25,1,49
22,betfair,48,C,750,10000,30000,25,1,49
23,betfair,48,D,500,10000,25000,25,1,49
24,betfair,48,E,400,10000,20000,25,1,49
25,paddy_power,48,AA,4000,50000,75000,25,1,49
26,paddy_power,48,A,3000,20000,60000,25,1,49
27,paddy_power,48,B,2000,15000,40000,25,1,49
28,paddy_power,48,C,750,10000,30000,25,1,49
29,paddy_power,48,D,500,10000,25000,25,1,49
30,paddy_power,48,E,400,10000,20000,25,1,49
31,sb_openbet,48,AA,3000,250000,75000,25,1,49
32,sb_openbet,48,A,2000,100000,60000,100,1,49
33,sb_openbet,48,B,1500,50000,40000,25,1,49
34,sb_openbet,48,C,1000,10000,30000,50,1,49
35,sb_openbet,48,D,750,10000,25000,50,1,49
36,sb_openbet,48,E,500,10000,20000,50,1,49
37,betfair,24,AA,7500,100000,75000,50,1,49
